# Class, ID
Flare,TranID1611101400424116462
HPM,TranID1611091630244128695
SN,TranID1611091210484112960
AGN,TranID1611071180094132061
HPM,TranID1611071120084120846
SN,TranID1611061210044109538
SN,TranID1611061091234116212
YSO,TranID1611021070314137583
HPM,TranID1610291660214144382
HPM,TranID1610291630224109495
HPM,TranID1610241600204126524
HPM,TranID1610231570224126275
CV,TranID1610231570204118948
Flare,TranID1610211260104103466
HPM,TranID1610211040244121915
SN,TranID1610131180104104884
SN,TranID1610131150114102277
CV,TranID1610121600264129045
CV/SN,TranID1610111210514134421
SN,TranID1610111070074115832
SN,TranID1610101660414123208
SN,TranID1610100070274103261
SN,TranID1610100070244133288
Blazar,TranID1610090121204115828
Blazar,TranID1610071320374137623
SN,TranID1610071260154236648
SN?,TranID1610060040184119667
SN,TranID1610051290094112842
CV,TranID1610051040264100999
SN,TranID1610050010124122001
SN,TranID1610011180064110646
CV,TranID1609251400984119582
Flare,TranID1609251231144129676
SN?,TranID1609221121194118187
SN,TranID1609221070014133607
SN,TranID1609221041244110267
Flare,TranID1609221010114117243
HPM,TranID1609101690374137222
CV,TranID1609101690374105884
LPV,TranID1609100091264119252
Flare,TranID1609061261144134968
CV,TranID1609061180834144443
SN,TranID1609041041244101667
SN,TranID1609041011234131242
AGN,TranID1609040090114121233
SDSS,TranID1609031320094120160
SN,TranID1609030071214116517
SN,TranID1609020010114127735
SN,TranID1608311070894114808
HPM,TranID1608310181104112828
SN,TranID1608291180064102809
SN,TranID1607141430714142489
SN,TranID1607141040024107869
SN,TranID1607121290724106294
CV,TranID1607101600454143507
AGN,TranID1607101350754138969
Blazar,TranID1607091210014124380
CV,TranID1607081690324112179
Blazar,TranID1607081520484130475
SN,TranID1607081070044111695
HPM,TranID1607071380774156515
HPM,TranID1607071290674126131
HPM,TranID1607061380624103568
HPM,TranID1607061121124101906
AGN?,TranID1607060121174118737
CV,TranID1607051090894117774
Flare,TranID1607041211134127847
AGN,TranID1607041211124111582
SN,TranID1607041120794128732
AGN,TranID1607041091204106148
SN,TranID1607041090764122295
Flare,TranID1607041071204134191
CV,TranID1607031320834188377
CV,TranID1606171210684127504
SN,TranID1606171181134127852
HPM,TranID1606161630314107465
HPM,TranID1606161600354121247
HPM,TranID1606161320804161901
Blazar,TranID1606161090634117514
Flare,TranID1606160041224106591
Flare,TranID1606160041184142245
SN,TranID1606151180814106547
HPM,TranID1606141570424135964
CV,TranID1606141460534112713
CV,TranID1606141430534127913
AGN,TranID1606131550474124364
SN,TranID1606081040754126106
Flare,TranID1606081010804105155
SN,TranID1606071570494121794
AGN,TranID1606071230774110988
SN?,TranID1606061180574115067
Flare,TranID1606061120624122054
Flare,TranID1606060121114112143
CV,TranID1606051260564134509
SN,TranID1606050120794145963
SN,TranID1606050120724127473
SN,TranID1606050010704121629
Merger/CV?,TranID1606031430654136549
CV,TranID1606031380684117420
SN,TranID1606021320614118438
CV,TranID1605310070594119120
SN,TranID1605301690314108377
HPM,TranID1605301490454126531
AGN,TranID1605301490444110548
SN,TranID1605281090554119624
SN,TranID1605281010644131002
CV,TranID1605280120874164002
SN,TranID1605261090714104635
Flare,TranID1605251490574133437
SN,TranID1605251180784118560
HPM,TranID1605161490534127874
HPM,TranID1605141230764138402
AGN,TranID1605141180724109433
AGN,TranID1605131350694112265
SN,TranID1605131260844127527
SN,TranID1605101010584124257
CV,TranID1605091630384130020
Blazar,TranID1605081090764135686
SN,TranID1605081070454144230
SN,TranID1605061460484115097
SN,TranID1605061430634121570
Flare,TranID1605061430534126099
HPM,TranID1605061350614117502
SN?,TranID1605051150574104178
CV,TranID1605050010854156077
Flare,TranID1605031460374110588
Flare,TranID1605031230594104988
SN,TranID1605031230594100807
SN,TranID1605031180584104729
CV,TranID1605030210794103494
CV,TranID1605030070894187198
HPM,TranID1604300010874152122
HPM,TranID1604290090724146073
SN,TranID1604281520544131783
SN,TranID1604281520464123115
AGN,TranID1604271210714110765
SN,TranID1604271210704117810
SN,TranID1604260070654121884
Unknown,TranID1604191400724134203
CV?,TranID1604191010484130973
HPM,TranID1604190070904103478
HPM,TranID1604181570484127970
HPM,TranID1604171380614134615
SN,TranID1604171120724134433
SN,TranID1604161490574103760
HPM,TranID1604161490554110636
HPM,TranID1604161010874153388
Flare,TranID1604151230814108369
Flare,TranID1604151230724114153
SN,TranID1604141010574127662
CV,TranID1604140120834153479
CV,TranID1604140120664136865
SN,TranID1604131090554109962
