# ID, Class
TranID1001061210214137885,Flare
TranID1001061320334228647,HPM
TranID1001080010554115862,CV
TranID1001081010294126339,SN
TranID1001081010294129406,SN
TranID1001081010444113640,CV
TranID1001081010654134912,Unknown
TranID1001081090174129448,SN
TranID1001081090204115993,AGN
TranID1001081090244138097,HPM
TranID1001081090274108146,AGN
TranID1001121040044140174,SN
TranID1001121040054140508,SN
TranID1001121040094101832,SN
TranID1001121040134141846,YSO
TranID1001121150154120180,HPM
TranID1001121180664117609,HPM
TranID1001121180674133895,HPM
TranID1001121180684103058,HPM
TranID1001121260254191987,CV
TranID1001131260174125958,Flare
TranID1001131320174130050,HPM
TranID1001131380174108966,CV
TranID1001141010324104119,SN
TranID1001141010324182496,SN
TranID1001141180084126439,CV
TranID1001150010144126826,CV/SN
TranID1001150010794131113,SN
TranID1001151040734114938,SN
TranID1001151260604105083,SN
TranID1001151320344156239,SN
TranID1001151380454138436,Blazar
TranID1001151380474105682,Blazar
TranID1001160010094128466,SN
TranID1001160040054122301,SN?
TranID1001160040104114772,SN
TranID1001160040104131814,CV
TranID1001161120034110404,SN
TranID1002021180433134193,SN
TranID1002061210274147147,CV?
TranID1002091210204133830,HPM
TranID1002130070674123400,CV
TranID1002130070714113393,Flare
TranID1002131150124125627,SN?
TranID1002131320464116212,SN
TranID1002140120874160517,SN
TranID1002141040704124908,Flare
TranID1002141070634135098,SN
TranID1002141150504129056,HPM
TranID1002141230164108008,CV
TranID1002141230164141656,LPV
TranID1002141230224152602,Flare
TranID1002151150564104157,CV
TranID1002151150674120927,SN
TranID1002151180734122272,CV
TranID1002151210634128202,SN
TranID1002151210664125701,AGN
TranID1002151230584131256,SDSS
TranID1002151230614117843,SN
TranID1002151230644103733,AGN
TranID1002151230694138151,CV
TranID1002151260604112544,SN
TranID1002151290534125081,SN
TranID1002160070474106060,HPM
TranID1002160150704114824,Unknown
TranID1002160180674139127,SN
TranID1002160210764114046,Unknown
TranID1002161320164145926,SN
TranID1002161320174102834,SN
TranID1002161380164181715,SN
TranID1002171210554127510,CV
TranID1002171210754109063,SN
TranID1002171260624141001,AGN
TranID1002171320594132636,Blazar
TranID1002171320604132045,CV
TranID1002171350504148201,Blazar
TranID1002171350514109348,SN
TranID1002171350564137559,SN
TranID1002171350574139609,SN
TranID1002171380484109521,HPM
TranID1002171400444123118,HPM
TranID1002181010254112737,HPM
TranID1002190120524132212,HPM
TranID1002191010194118882,AGN?
TranID1002191010224113664,HPM
TranID1002191070274109660,CV
TranID1002191260514135892,Flare
TranID1003041150574110573,AGN
TranID1003041180414145217,SN
TranID1003041210264112851,AGN
TranID1003051180524111712,SN
TranID1003051290594119977,Flare
TranID1003120040654130928,CV
TranID1003121090624137609,CV
TranID1003121150504124943,SN
TranID1003130090614136707,HPM
TranID1003130090684107104,HPM
TranID1003131090504109287,HPM
TranID1003131120474123675,Blazar
TranID1003131120494127447,Unknown
TranID1003141260454126769,Flare
TranID1003150010554112410,Flare
TranID1003150120654108761,SN
TranID1003150180644112692,SN
TranID1003151010544127013,SN
TranID1003151010704126003,HPM
TranID1003160070844134197,CV
TranID1003161230594124017,CV
TranID1003161320754141950,AGN
TranID1003170180714135740,SN
TranID1003171010824148041,Flare
TranID1003171260614126522,SN
TranID1003171260634141181,AGN
TranID1003171290214127638,SN?
TranID1003171400444111913,SN?
TranID1003171430384133703,Flare
TranID1003171460404142882,Flare
TranID1003181290724103394,CV
TranID1003181320644139367,SN
TranID1003181350634106417,SN
TranID1003181460474129462,SN
TranID1003191180784104664,Merger/CV?
TranID1003191260674132739,CV
TranID1003191430534129611,SN
TranID1003201010274111459,SN
TranID1003201070674134658,CV
TranID1003201120464144037,SN
TranID1003201120734136417,SN
TranID1003201400534140919,HPM
TranID1003201460504104696,AGN
TranID1003211090274101591,SN
TranID1003211150624122202,SN
TranID1003211320514111504,CV?
TranID1003211320574117341,SN
TranID1003211430494120023,SN
